iter	Passed	Remaining
575	25126	18495
576	25174	18455
577	25213	18408
578	25261	18367
579	25303	18323
580	25342	18276
581	25386	18233
582	25430	18189
583	25471	18144
584	25513	18099
585	25555	18054
586	25601	18012
587	25651	17973
588	25698	17932
589	25741	17887
590	25786	17845
591	25835	17805
592	25887	17767
593	25930	17723
594	25971	17677
595	26021	17638
596	26065	17595
597	26110	17552
598	26158	17511
599	26216	17477
600	26277	17445
601	26321	17402
602	26367	17360
603	26413	17317
604	26459	17275
605	26504	17232
606	26543	17185
607	26584	17139
608	26627	17095
609	26673	17053
610	26716	17009
611	26767	16970
612	26806	16923
613	26850	16879
614	26897	16838
615	26938	16792
616	26986	16751
617	27033	16710
618	27079	16667
619	27122	16623
620	27163	16578
621	27207	16534
622	27248	16489
623	27285	16441
624	27332	16399
625	27379	16358
626	27422	16313
627	27467	16270
628	27511	16227
629	27554	16183
630	27596	16137
631	27643	16096
632	27688	16053
633	27737	16012
634	27781	15969
635	27830	15928
636	27880	15887
637	27928	15846
638	27981	15807
639	28027	15765
640	28070	15721
641	28109	15674
642	28152	15630
643	28198	15587
644	28242	15544
645	28283	15498
646	28327	15455
647	28371	15411
648	28417	15368
649	28458	15323
650	28502	15280
651	28544	15235
652	28591	15193
653	28636	15150
654	28686	15109
655	28728	15065
656	28778	15024
657	28825	14982
658	28873	14940
659	28927	14902
660	28975	14860
661	29022	14818
662	29067	14774
663	29111	14731
664	29156	14687
665	29201	14644
666	29247	14601
667	29294	14559
668	29337	14515
669	29380	14471
670	29421	14425
671	29463	14380
672	29506	14336
673	29562	14298
674	29606	14254
675	29651	14211
676	29696	14168
677	29748	14128
678	29793	14085
679	29834	14039
680	29879	13996
681	29922	13952
682	29968	13909
683	30011	13864
684	30061	13823
685	30106	13780
686	30150	13736
687	30189	13690
688	30238	13649
689	30286	13606
690	30329	13562
691	30374	13519
692	30419	13475
693	30465	13432
694	30507	13388
695	30552	13344
696	30595	13300
697	30642	13257
698	30686	13214
699	30735	13172
700	30777	13127
701	30826	13085
702	30878	13045
703	30922	13001
704	30966	12957
705	31017	12916
706	31060	12872
707	31107	12829
708	31156	12787
709	31201	12744
710	31246	12700
711	31287	12655
712	31335	12613
713	31377	12568
714	31426	12526
715	31466	12481
716	31513	12438
717	31556	12394
718	31601	12350
719	31643	12305
720	31694	12264
721	31743	12222
722	31787	12178
723	31831	12134
724	31880	12092
725	31926	12049
726	31970	12005
727	32018	11963
728	32061	11918
729	32110	11876
730	32155	11832
731	32196	11787
732	32239	11743
733	32285	11700
734	32327	11655
735	32370	11611
736	32410	11565
737	32456	11522
738	32502	11479
739	32540	11433
740	32582	11388
741	32629	11345
742	32670	11300
743	32713	11256
744	32755	11211
745	32796	11166
746	32840	11122
747	32885	11078
748	32924	11033
